ID,Timestamp,Gender,Ethnicity,Red,Red:Good_or_Bad,Green,Green:Good_or_Bad,Yellow,Yellow:Good_or_Bad,Orange,Orange:Good_or_Bad,Light_Blue,Light_Blue:Good_or_Bad,Dark_Blue,Dark_Blue:Good_or_Bad,Purple,Purple:Good_or_Bad,Pink,Pink:Good_or_Bad,Black,Black:Good_or_Bad,White,White:Good_or_Bad
1,2/22/2021 11:50,Female,White,Angry,Bad,Optimistic,Good,Happy,Good,Anxious,Bad,Calm,Good,Calm,Good,Optimistic,Good,Excited,Good,Anxious,Good,Calm,Good
2,2/22/2021 11:51,Female,White,Angry,Bad,Calm,Good,Happy,Good,Anxious,Bad,Optimistic,Good,Sad,Bad,Other,Bad,Excited,Good,Other,Bad,Optimistic,Good
3,2/22/2021 11:51,Female,White,Excited,Neither,Optimistic,Good,Happy,Good,Angry,Neither,Happy,Good,Anxious,Neither,Scared,Neither,Happy,Good,Other,Neither,Other,Neither
4,2/22/2021 11:52,Female,White,Angry,Good,Calm,Good,Happy,Good,Excited,Good,Calm,Good,Sad,Good,Anxious,Good,Calm,Good,Scared,Good,Calm,Good
5,2/22/2021 11:53,Female,White,Other,Bad,Calm,Good,Happy,Good,Happy,Good,Happy,Good,Calm,Good,Optimistic,Good,Happy,Good,Other,Neither,Other,Neither
6,2/22/2021 11:53,Female,Hispanic or Latino,Anxious,Bad,Happy,Good,Excited,Good,Optimistic,Good,Calm,Good,Angry,Bad,Sad,Neither,Optimistic,Good,Anxious,Bad,Optimistic,Good
7,2/22/2021 11:55,Male,White,Angry,Bad,Excited,Good,Optimistic,Good,Anxious,Neither,Calm,Neither,Scared,Neither,Calm,Neither,Happy,Good,Sad,Bad,Calm,Neither
8,2/22/2021 11:58,Male,Hispanic or Latino,Angry,Good,Optimistic,Good,Happy,Good,Angry,Neither,Happy,Good,Other,Neither,Excited,Good,Optimistic,Good,Calm,Good,Other,Neither
9,2/22/2021 11:58,Female,White,Angry,Bad,Happy,Good,Optimistic,Good,Anxious,Neither,Calm,Good,Sad,Bad,Other,Neither,Excited,Good,Sad,Bad,Other,Neither
10,2/22/2021 12:02,Male,Hispanic or Latino,Excited,Good,Other,Bad,Anxious,Neither,Calm,Good,Happy,Good,Excited,Good,Excited,Good,Calm,Good,Excited,Good,Scared,Bad
11,2/22/2021 12:03,Female,Asian,Scared,Bad,Calm,Bad,Happy,Good,Anxious,Neither,Calm,Good,Scared,Bad,Excited,Good,Happy,Good,Anxious,Bad,Other,Neither
12,2/22/2021 12:05,Female,White,Angry,Neither,Calm,Good,Anxious,Neither,Excited,Good,Calm,Neither,Sad,Bad,Optimistic,Good,Happy,Good,Other,Neither,Optimistic,Good
13,2/22/2021 12:06,Male,Hispanic or Latino,Angry,Bad,Optimistic,Good,Other,Neither,Other,Neither,Happy,Good,Other,Neither,Other,Neither,Other,Neither,Scared,Neither,Optimistic,Neither
14,2/22/2021 12:09,Male,White,Angry,Bad,Calm,Good,Happy,Good,Anxious,Bad,Optimistic,Good,Sad,Bad,Excited,Good,Other,Good,Other,Good,Scared,Bad
15,2/22/2021 12:09,Female,Asian,Excited,Neither,Optimistic,Good,Calm,Good,Happy,Good,Happy,Neither,Scared,Bad,Anxious,Bad,Happy,Good,Scared,Bad,Calm,Good
16,2/22/2021 12:13,Female,White,Angry,Neither,Optimistic,Good,Calm,Good,Anxious,Bad,Happy,Good,Sad,Neither,Calm,Neither,Optimistic,Good,Sad,Bad,Happy,Good
